umbral,ahorro_$
0.0015690376569037657,1088410.0
0.0015690376569037657,1088410.0
0.0015690376569037657,1088410.0
0.001576789656259855,1115820.0
0.001576789656259855,1115820.0
0.001576789656259855,1115820.0
0.001576789656259855,1115820.0
0.001576789656259855,1115820.0
0.001763668430335097,1165170.0
0.001763668430335097,1165170.0
0.001763668430335097,1165170.0
0.001763668430335097,1165170.0
0.001763668430335097,1165170.0
0.002,1208490.0
0.002,1208490.0
0.0020352781546811396,1228520.0
0.0020352781546811396,1228520.0
0.0026050146532074245,1250380.0
0.0026050146532074245,1250380.0
0.0026050146532074245,1250380.0
0.0026050146532074245,1250380.0
0.0026050146532074245,1250380.0
0.0026688017080330933,1291670.0
0.0026688017080330933,1291670.0
0.0026688017080330933,1291670.0
0.0026688017080330933,1291670.0
0.0026688017080330933,1291670.0
0.0026688017080330933,1291670.0
0.0026688017080330933,1291670.0
0.0026688017080330933,1291670.0
0.0026688017080330933,1291670.0
0.0026688017080330933,1291670.0
0.0026688017080330933,1291670.0
0.0026688017080330933,1291670.0
0.002677376171352075,1387800.0
0.002884338044418806,1397630.0
0.002884338044418806,1397630.0
0.002884338044418806,1397630.0
0.002884338044418806,1397630.0
0.002884338044418806,1397630.0
0.002884338044418806,1397630.0
0.0037531276063386154,1440230.0
0.0037531276063386154,1440230.0
0.0037531276063386154,1440230.0
0.004807692307692308,1469570.0
0.00501002004008016,1471640.0
0.00501002004008016,1471640.0
0.00501002004008016,1471640.0
0.00501002004008016,1471640.0
0.00501002004008016,1471640.0
0.00501002004008016,1471640.0
0.00501002004008016,1471640.0
0.00501002004008016,1471640.0
0.00501002004008016,1471640.0
0.007136384231989126,1531400.0
0.007136384231989126,1531400.0
0.007136384231989126,1531400.0
0.007136384231989126,1531400.0
0.007136384231989126,1531400.0
0.007136384231989126,1531400.0
0.007136384231989126,1531400.0
0.007136384231989126,1531400.0
0.007136384231989126,1531400.0
0.007136384231989126,1531400.0
0.007136384231989126,1531400.0
0.007136384231989126,1531400.0
0.007136384231989126,1531400.0
0.007136384231989126,1531400.0
0.01,1612340.0
0.010948905109489052,1617710.0
0.011066027296200664,1621280.0
0.011066027296200664,1621280.0
0.011066027296200664,1621280.0
0.011066027296200664,1621280.0
0.012658227848101266,1635980.0
0.012658227848101266,1635980.0
0.012658227848101266,1635980.0
0.012658227848101266,1635980.0
0.017766497461928935,1638540.0
0.017766497461928935,1638540.0
0.01802451333813987,1642950.0
0.01802451333813987,1642950.0
0.01802451333813987,1642950.0
0.01802451333813987,1642950.0
0.01802451333813987,1642950.0
0.018186112423240433,1642430.0
0.018186112423240433,1642430.0
0.018186112423240433,1642430.0
0.018186112423240433,1642430.0
0.018186112423240433,1642430.0
0.018186112423240433,1642430.0
0.021613276727132383,1613380.0
0.021613276727132383,1613380.0
0.021613276727132383,1613380.0
0.021613276727132383,1613380.0
0.021613276727132383,1613380.0
0.025,1565030.0
0.03304821150855365,1558270.0
0.03304821150855365,1558270.0
0.03304821150855365,1558270.0
0.03304821150855365,1558270.0
0.03861003861003861,1502620.0
0.03861003861003861,1502620.0
0.03861003861003861,1502620.0
0.03861003861003861,1502620.0
0.04079601990049751,1398910.0
0.04079601990049751,1398910.0
0.0451505016722408,1344560.0
0.056372549019607844,1302790.0
0.06278855032317637,1256940.0
0.06278855032317637,1256940.0
0.10245901639344263,1133900.0
0.10578279266572638,1098870.0
0.13128491620111735,979170.0
0.1618705035971223,777640.0
0.25870646766169153,577250.0
0.35294117647058826,303610.0
